…1,SubjectID,ObjectID,TalkBlock,Transcription,accuracy_Nicole,certainty_Nicole,accuracy_Tarun,certainty_Tarun,raw_accuracy_Human,raw_certainty_Human,scaled_accuracy_Human,scaled_certainty_Human,Very certain,Somewhat certain,Somewhat uncertain,Very uncertain,raw_certainty_score_weighted,scaled_certainty_score_weighted,Very accurate,Somewhat accurate,Somewhat inaccurate,Very inaccurate,raw_accuracy_score_weighted,scaled_accuracy_score_weighted
10,tulip005,stethoscope,1,"Um, it typically has like this rubber material surrounding it.  It has, it follows like a Y shape.  You, there's two like buds that you put into your ear.  And then on the bottom, like on the bottom of the Y, there's like a circular shape. Um.  looks kind of like a bell almost. It's used to measure your heart, heart rate I  guess, to hear the heart.",3,3,4,3,3.5,3.0,0.674871006068392,0.388343411734332,0.0631120502948761,0.612104415893555,0.292822510004044,0.0319610498845577,2.70636751875281,0.69643194490895,0.10765719413757300,0.7317813634872440,0.13316774368286100,0.027393778786063200,2.9197021331638100,-0.38679397595410000
11,tulip013,pocketradio,1,"I think pocket radio have a square shape. Not square. Sometimes square, sometimes perpendicular. And it has a multiple hole to plug in your headphone or earpods back then. And there is a speaker.  And I think it's typically made out of the metal and the plastic, I believe. The pocket radio is used to listen to the radio.  And I am not sure how it works, but I know there is a tiny antenna that catch the radio's frequency.",2,3,3,2,2.5,2.5,-0.449914004045594,-0.188103840058817,0.0140585768967866,0.456902205944061,0.442213445901871,0.0868257880210876,2.39819360524416,-0.205794331814751,0.08107703179121020,0.755435585975647,0.13520824909210200,0.02827909030020240,2.889310473576190,-0.5435332128331050
12,tulip010,threeholepunch,2,"A rectangular shaped handle on top with a little bit of a Crescent shape on it as well, at a bit of an angle to like put some force on and yes, it was made out of metal. It works by pushing the lever on top to then put some pressure onto the coil, onto the springs, and then push the plungers through into paper, typically paper at least.  Um, and yeah, used to put holes in paper and then put that paper into a binder.",4,4,4,4,4.0,4.0,1.23726351112538,1.54123791532063,0.0682374313473701,0.712689697742462,0.193627074360847,0.0254458282142877,2.82371879555285,1.03999576032288,0.3540042042732240,0.5700992345809940,0.06259402632713320,0.013302487321198000,3.264805060811340,1.3930091100944000
13,tulip015,fishingreel,2,This object actually is made with steel and it actually has a handle on it and have the straw around it and it's color is like black and silver. I think it's like during the fishing is used to to catch up the fish.,3,3,2,2,2.5,2.5,-0.449914004045594,-0.188103840058817,0.0643843635916709,0.618560910224915,0.293460428714752,0.0235943142324686,2.7237353567034,0.747278947468308,0.2911618649959560,0.6028167009353640,0.08438408374786380,0.02163728140294550,3.16350301168859,0.8705629492323420
14,tulip008,threeholepunch,2,"The object is gray and black made out of metal.  In the area where it punches the holes, it's got a sharp rounded cylinder with a sharp surface at the end. That's what actually punches the holes in the paper. It's got a nice slot for the paper to sit in there nicely and be aligned properly. The object is just used to punch holes in the paper.",4,4,4,4,4.0,4.0,1.23726351112538,1.54123791532063,0.0863561853766441,0.567155182361603,0.299518018960953,0.046970646828413,2.6928969733417,0.656994862472827,0.2967931926250460,0.5319560170173650,0.1392069011926650,0.03204399347305300,3.09349861741066,0.5095285244532240
15,tulip008,crankflashlight,1,"This object typically looks like a bulb, a light bulb on one end and a handle at the other. Somewhere in the middle should be a handle that you turn and a gear connected to that internally that will transfer the energy from the crank rotation into electrical energy which will power the light bulb. The object works by cranking the crank which converts mechanical energy into electrical energy which powers the light bulb.",2,4,3,4,2.5,4.0,-0.449914004045594,1.54123791532063,0.0928473025560379,0.75638884305954,0.135288119316101,0.015475807711482,2.92660778574646,1.34121901923326,0.4109247326850890,0.4315866231918340,0.12505829334259000,0.03243034705519680,3.2210057340562300,1.167122365357180
16,tulip008,stethoscope,2,The object looks like two plugs that go into your ear and then a metal piece at the bottom that will go on your chest. Then connecting the plugs and the part that goes in your chest is just tubes The object works by amplifying the sound of your heartbeat by measuring the sound from your chest and then bringing that up to your ear.,3,4,4,4,3.5,4.0,0.674871006068392,1.54123791532063,0.0619540549814701,0.51821231842041,0.376689076423645,0.0431446023285388,2.59897593036294,0.382026640964503,0.22428235411644000,0.5372569561004640,0.1982230842113500,0.04023757949471470,2.9455840326845600,-0.25331297376774800
17,tulip003,frenchpress,1,This thing is made out of many compartments. And it's usually made out of metal in a cylinder cup shape type. This is used for to make coffee and it presses the coffee grounds.,2,3,3,4,2.5,3.5,-0.449914004045594,0.96479066352748,0.0960451588034629,0.602139830589294,0.267809718847275,0.0340053029358387,2.76022486761212,0.854107572876017,0.4085918962955480,0.3950909972190860,0.16752265393734000,0.02879451960325240,3.183480404317380,0.9735925737397180
18,tulip018,bulbplanter,2,"Okay now that I’ve looked at it, it typically looks like it has a handle on top and it’s more of like a cylinder shape a hollow cylinder shape  and I think it's made out of steel or metal, some sort of metal, and it has like measurements on the side of it and also I think that like the handle attached is more of like a rectangle shape with curved endings. And I'm not really sure how it works but I think it might be like you could put a plant  inside of it and then you use it for, you use it to plant like in soil instead not like a light bulb as I said earlier and I think it might be for like plants and then you could put the plant inside of the hollow cylinder and then put it in the soil.",4,3,3,2,3.5,2.5,0.674871006068392,-0.188103840058817,0.0060006608255207,0.411150962114334,0.488329738378525,0.0945186093449592,2.32863361574709,-0.409441842463377,0.10011811554431900,0.6580924391746520,0.1905408650636670,0.051248520612716700,2.807080030441280,-0.9676211724928250
19,tulip007,handmixer,2,It seems to be mostly made of stainless steel especially the part that needs to touch the food and the handles seems to be plastic. The object- when you spin the handle- the mixer type of thing spins as well. That helps mix the ingredients or like food together well.,4,3,3,3,3.5,3.0,0.674871006068392,0.388343411734332,0.0186803080141544,0.49763223528862,0.431637734174728,0.0520496852695941,2.48294309154153,0.0423227544297215,0.315268874168396,0.5758579969406130,0.08280226588249210,0.02607090212404730,3.1803249213844500,0.9573187672545700
20,tulip019,stethoscope,1,"This looks like the tool that doctors use to hear your heartbeat. I assume there would be a metal and some rubber lining of it where it's attached to a metal  spring where you put it on your heart and with the stethoscope, you can hear your heartbeat  and the rhythm and just the beats for rhythms, beat for a minute.  And yeah, it is just something that doctors use to check your heartbeat.  What it's used for, it is used for to measure your heartbeat and to see how fast your heart is beating.  It is just a tool that, you know, for in the hospitals or whichever EMTs, doctors, but  yeah, they would move that metal thing that is attached to the stethoscope and it will just... they will place it on your heart and they will listen in closely as to how fast your heart is beating.",3,3,3,3,3.0,3.0,0.112478501011399,0.388343411734332,0.0858747139573097,0.759843945503235,0.139062032103539,0.0152192451059818,2.916374001652,1.31125805071644,0.15398402512073500,0.7710082530975340,0.05835969001054760,0.01664797216653820,3.0623282119631800,0.348773053072597
21,tulip010,floppydisk,1,"This is more speculation because I'm not sure.  Um, I'm assuming it's like a non-burnt CD that's like empty, that doesn't have anything on it yet.  Um, made out of different kinds of metal and cylinder in nature. Kind of circular. And very thin.  Um, it's used, what my previous knowledge was right, that it's used for putting into a computer or some kind of hard drive to then like burn information or films or music of any kind onto the disk.",2,2,3,1,2.5,1.5,-0.449914004045594,-1.34099834364511,0.0012108566006645,0.011753711849451,0.785539925098419,0.201495483517647,1.8126798956655,-1.91997528940904,0.14811445772647900,0.46468496322631800,0.2889181673526760,0.09828239679336550,2.6626314520835900,-1.7125873983340700
22,tulip019,crankflashlight,1,I'd assume this flashlight would have another handle on the side where whichever the faster you rotate it the more I guess energy you get that where the flashlight will be able to light up so I did seem it'll be made of plastic or metal but for sure there would be like a dial or like a mechanism where you the more you rotate it the more energy you can put it the more light will come out and depending on how long you you crank you you rotate it depends on how long the light would last definitely yeah I think it would be something like that probably be six inches or seven inches depending on how big the the crank flashlight is and how it works the more you rotate it whichever if it is how I think it is the more light will or just light would come out and I'd assume that it would only run on that mechanism so when if you stop rotating it no light will be coming out I'd assume that it wouldn't need no battery since it does seem like it's gonna be manual I guess I'm manual and yeah definitely will be,3,3,3,3,3.0,3.0,0.112478501011399,0.388343411734332,0.178930699825287,0.40147277712822,0.34187638759613,0.0777201652526855,2.68161407113075,0.62396244017425,0.2229638695716860,0.6615721583366390,0.07811032980680470,0.037353675812482800,3.0701462887227500,0.38909330546370500
23,tulip003,shoehorn,2,This object is usually made out of metal and its purpose is to fix your shoes. This looks like a spatula but has an arch to it. It is usually made out of metal. It's supposed to help you put on your shoes from the back where the stick Pushes your shoes back up it to give your feet room to go through,4,3,4,4,4.0,3.5,1.23726351112538,0.96479066352748,0.160456225275993,0.557889759540558,0.248953774571419,0.03270024061203,2.84610196948051,1.10552592620904,0.36944350600242600,0.4226429760456090,0.15564227104187000,0.05227125436067580,3.109258748590950,0.5908084205770020
24,tulip017,handmixer,1,"A hand mixer is made out of metal.  It's like a whisk that you use to whisk up eggs, cake batter, pancake mix. And it has pieces of metal that kind of interwind together.  Yeah, it's made out of metal used to whisk up things. Like...  Like eggs, cake batter, or even like whipped cream.",4,3,3,3,3.5,3.0,0.674871006068392,0.388343411734332,0.142757952213287,0.561733722686768,0.241593599319458,0.0539147444069385,2.79333491995931,0.951042316349992,0.5175765752792360,0.4439185857772830,0.027270354330539700,0.011234384961426300,3.467837152071300,2.44010872485171
25,tulip010,crankflashlight,2,"Okay, so it typically looks like, kind of like a typical flashlight with a handle to rotate around. It has a bulb, a little   like synthetic plastic cover on top of the bulbs to protect them and is made of plastic.  Except for the, I would assume glass for the bulb itself. It's used by cranking the handle to build up kinetic energy and it seems like on that  last, on the one I looked at had a solar panel to also help store some of that extra energy to then use the light to like see in the dark.",4,3,3,3,3.5,3.0,0.674871006068392,0.388343411734332,0.0361135937273502,0.652963221073151,0.282932877540588,0.0279903281480073,2.69720012135804,0.669592986592975,0.12777073681354500,0.780568540096283,0.06517316401004790,0.02648746967315670,3.0096223652362800,0.07695261591555860
26,tulip011,bulbplanter,1,"I am not sure what a bulb planter is, but I would say it's like the bulb that emits light.  My guess is that it emits light, but I don't know really how it works.",1,2,1,1,1.0,1.5,-2.13709151921657,-1.34099834364511,0.0015565439825877,0.221404492855072,0.650239408016205,0.126799538731575,2.09771800925955,-1.08548260628618,0.11102515459060700,0.6132897138595580,0.18351604044437400,0.09216910600662230,2.7431709468364700,-1.297220185175070
27,tulip014,bloodpressurecuff,2,"Uh the blood pressure cuff is um made of a few different components. There’s a pressure gauge, just made of typical glass like or metal with the numbers inside and an arrow that would indicate the level it’s at. There’s also connected to that in the lining like a tube to the actual cuff that’s measuring, as well as there’s a rubber… I don’t know the exact term to use but a little balloon in your hand which you would use to increase the pressure to the cuff. Which is also connected with a little tube to the cuff and is made out of hollow plastic or other material. It has velcro, it is used to fashion it against a patient’s arm uh securely. And once you have it fashioned to the patient’s arm it is used to measure the patient’s blood pressure. This is done by squeezing the um the balloon like item and then you read the measurement on the gauge.",3,3,3,3,3.0,3.0,0.112478501011399,0.388343411734332,0.0271540060639381,0.287051767110825,0.597367763519287,0.0884264111518859,2.25293326377869,-0.631066203609072,0.15302516520023300,0.6601681709289550,0.15702004730701400,0.02978656254708770,2.9364318307489200,-0.3005137244546380
28,tulip006,handmixer,2,"Okay so the hand mixer it’s typically im guessing it’s made out of metal. I can imagine it being made out of other things but not really. It has… it definitely has a handle, um, and then it has a grip that’s attached to gears that um that like automatically spin separate whisks that are at the other end, um. I don’t know how much else I can describe after that… It's like a bike. After that... Grips. Metal. Gears. Turning the whisks. Yeah. Um... I don't think that's going to change. Um... It's just used for... Um... Mixing things that I guess would otherwise be mixed with hands. Um... It works... By... Um... You don't necessarily have to hold...  But, like, by turning the... Um... Turning the handle that's attached to the gear that automatically spins the... Excuse me. Um...  Spins the whisks, which then mixes whatever they need, like, for dough or something. Okay.",3,3,2,2,2.5,2.5,-0.449914004045594,-0.188103840058817,0.0197374410927295,0.637105643749237,0.298212170600891,0.0449446812272071,2.63163571804762,0.47764316575679,0.13684964179992700,0.7557984590530400,0.08551961183547970,0.02183232083916660,3.007665488868950,0.06686039612092540
29,tulip007,crankflashlight,1,So I'm guessing that it's probably has a handle on the side uh holding the flashlight or maybe Mostly made of metal or mostly made of plastic I'm guessing that it might be like a handheld uh Manual type of flashlight where you have to like spin the thing or like spin the handle,3,2,3,2,3.0,2.0,0.112478501011399,-0.764551091851965,0.0035639309789985,0.54753702878952,0.41015151143074,0.0387475565075874,2.51591738965362,0.138860056612547,0.18431994318962100,0.5777207016944890,0.1749531477689740,0.06300617009401320,2.8833543434739100,-0.5742508274566630
30,tulip019,handmixer,1,I'm not sure what this hand mixer may be um i'm gonna assume it's another tool and i'm not sure what it's used for but i'm assuming it's a tool for something like that and i guess it's just something uh how it would look uh possibly small something that would fit in my hand and uh i'd say maybe maybe metal maybe it could be made of plastic um but definitely compact i'm whether be uh uh baking materials or uh sort of tools or gardening i guess um and just definitely to mix something up maybe that way you could use that instead of your own hand and it'll maybe probably make make the whole process a lot easier,2,2,2,1,2.0,1.5,-1.01230650910259,-1.34099834364511,0.0026069339364767,0.155837759375572,0.67707884311676,0.164476498961449,1.99657519906759,-1.38159365610838,0.1452486515045170,0.5207065343856810,0.18357372283935500,0.15047109127044700,2.6607327461242700,-1.7223796152501500
31,tulip021,floppydisk,1,"I'm not too sure what a floppy disk is but I assume it is a metal disk that is in a rectangle, a metal rectangle. I would assume a floppy disk is used for computers in like the 1900s.",2,2,3,1,2.5,1.5,-0.449914004045594,-1.34099834364511,0.0014782843645662,0.0978202521800994,0.742841899394989,0.157859608530998,1.94291730131954,-1.53868536043489,0.14320947229862200,0.5193945169448850,0.23662182688713100,0.10077425092458700,2.705039344727990,-1.493876711885150
32,tulip012,bulbplanter,1,um I don't really know what a bulb planter is I'm assuming something to do with gardening um and I'm guessing that it's used to plant bulbs in a garden,3,2,3,1,3.0,1.5,0.112478501011399,-1.34099834364511,0.0011121780844405,0.150664523243904,0.695749402046204,0.152473911643028,2.00041499780491,-1.37035205788646,0.26989316940307600,0.3513272702693940,0.20544415712356600,0.17333534359931900,2.7177781462669400,-1.4281787520152500
33,tulip024,bloodpressurecuff,1,"it's like a black fabric that goes around your arm and there's like an um a pump I believe to pump with air and it inflates around your arm to test the blood pressure I think it works by when the air is pumped into a what it measures.  Honestly don't know, but the pressure, to measure blood pressure.",3,2,2,2,2.5,2.0,-0.449914004045594,-0.764551091851965,0.0020667719654738,0.235650196671486,0.623880803585053,0.138402238488197,2.10138152353466,-1.07475710779565,0.14208339154720300,0.687084972858429,0.1362617164850240,0.034569986164569900,2.936681903898720,-0.29922401947651300
34,tulip009,rolodex,2,"The object is made out of plastic, like hard plastic on the outside.  And it's spinning like a wheel, it can spin like a wheel. And it has plastic cards that I assume you can write on. It looks like a mini file folder just like on rotation. I'm assuming that this object is used for like... maybe like studying index cards or writing stuff down and having it alphabetized. It's like a little mini file system. So I assume that's what it is. It's not like a flash card thing of some sort.",3,3,2,2,2.5,2.5,-0.449914004045594,-0.188103840058817,0.0380523204803466,0.693029880523682,0.24435655772686,0.0245611872524023,2.74457322619855,0.808284998225216,0.2095799595117570,0.6202498078346250,0.13510078191757200,0.03506937995553020,3.0043402053415800,0.04971087518133010
35,tulip017,bloodpressurecuff,1,A blood pressure cuff is made out of plastic and it's kind of like a wrap that goes around your bicep to check the pressure of your blood and how much your heartbeats are it's made out of plastic and it wraps around your bicep or right below your bicep kind of where your elbow is to check for your heartbeats and the pressure of your blood,3,3,3,4,3.0,3.5,0.112478501011399,0.96479066352748,0.0589108392596244,0.660068988800049,0.246077969670296,0.0349421612918376,2.74294842407107,0.803528141432248,0.11948897689580900,0.7885760068893430,0.07299162447452550,0.018943410366773600,3.008610587567090,0.07173456392655620
36,tulip020,rolodex,2,"cards in the middle of it. And it has like A through Z of the alphabet with like cards in berween them for like name cards or learning the alphabet that just like go under those categories of those letters and yeah. It’s made out of plastic and papers And then there's like blue and white different papers.  Blue is like the category of like the letters for A, B, C. And there's 10 individual white papers in between it. And it's also plastic and it has two wheels on the side that you can like use to spin through the cards. Probably used for learning names or maybe like business cards if you want of people and also maybe learning your alphabet. Or like a younger child.",3,3,2,3,2.5,3.0,-0.449914004045594,0.388343411734332,0.0811776518821716,0.600290894508362,0.279794067144394,0.038737341761589,2.72390876710415,0.747786632945098,0.3390384316444400,0.5710678100585940,0.07125143706798550,0.018642375245690300,3.2305024061352000,1.2160996556646100
37,tulip013,bloodpressurecuff,1,I think blood pressure cuff is made by some sort of a clothe and plastic how do we call it? Plastic plastic yeah I mean plastic kind of like a zipper plastic bond I will say. It's like hold the stuff together when you put them put them together. And there's I believe there's a tooth going in. Blood pressure cuff. Yeah some of the some of the I think most of them have a blood pressure cuff have a have a hole so the air pressure can air can be applied so the yeah I think that's the function. cuff can be used by applying air pressure into the cuff and the cuff itself. In the cuff there's like stretchable I believe it's balloon like rubber inside and outside is covered by the clothe so it can get restricted. So it won't explode. Blood pressure cuff is used to apply the pressure in your hand so they can read your blood pressure consistently.,2,2,3,2,2.5,2.0,-0.449914004045594,-0.764551091851965,0.0212873816490173,0.635383903980255,0.290736019611359,0.0525926686823368,2.62536594644189,0.459287450221552,0.17513974010944400,0.6541308760643010,0.14372782409191100,0.027001582086086300,2.977408818900590,-0.08918265732500230
38,tulip023,threeholepunch,1,"Um I’m not entirely sure what this is but I’m presuming it’s just like a hole puncher for paper. Um which is typically made out of either plastic or like a mix of plastic metal. There’s like a metal kind of like ruler with a bent edge that like allows you to place the holes in like the center of the paper. Um there’s these two or in this case like 3 blades. Um they’re kind of slanted and eventually when pressure is placed on the lever of like the object it allows it to cut through paper and create holes. Um the object itself has like springs and is like rectangular and kind of looks like an angle of sort, like a triangle without the last line if that makes sense? And then there’s that lever at the very top and then the three holes, the three like hold blades. And the edge is kind of like a sandwich so there’s like a plastic base attached to the metal rod I mentioned before and then the blade’s inside. And then on top of the blades the plastic handle or lever which you push down to use. Um the object is used to create holes in paper which can then be used for like storage purposes or keeping in a binder. Um and it can be used for crafts um but usually is more like an office, something you’d typically find in an office um. Yeah.",4,3,4,2,4.0,2.5,1.23726351112538,-0.188103840058817,0.0028388791251927,0.136176511645317,0.731440722942352,0.129543945193291,2.01231044251472,-1.33552632371476,0.13746900856494900,0.6448395848274230,0.1658753901720050,0.051816072314977600,2.8679616414010500,-0.6536357774443370
39,tulip014,bloodpressurecuff,1,Uh I’m not entirely sure um however I think that this item is likely rubber or some sort of plastic. I believe that it is cylindrical and would wrap around your arm or some other body part that’s measuring blood pressure. Uh the object is being used to measure your blood pressure. It does this by compressing onto the selected area and I will be able to test the blood pressure that way.,3,2,3,2,3.0,2.0,0.112478501011399,-0.764551091851965,0.0011957284295931,0.201113015413284,0.690801322460175,0.106889925897121,2.0966145307757,-1.08871320835951,0.1162852942943570,0.706202507019043,0.15067033469677000,0.026841869577765500,2.911931237205860,-0.4268709022832830
40,tulip006,handmixer,1,"Hand mixer.  The only things that are coming to mind is, like, a whisk or...  Sorry, thank you. It looks... It looks... It looks like a...  A handle, which can be made of whatever material.  And then there's usually some sort of, like, wire that's bent in, like, a... Almost like a light bulb shape.  But it's, like, bent around, like, a perimeter in a circular motion so that, like, ultimately has, like, a shape of a bulb. And then... That's also usually made of metal. But hand mixer?  The only other thing I could think of of a hand mixer is, like...  Instead of a whisk would be, like, the actual machine which has, like, a base of a bowl. And then...  Oh, wait. Hand mixer. Maybe... Maybe the base of the bowl. And then...  It has, like, a contraption that goes on top.  And it, like, has maybe some sort of whisk.  Or some sort of, like... Thing that mixes I don't know.  Well, it's definitely used to mix things that I guess that you would typically mix with your hands. I'm assuming it's usually made for dough. Can't really think of too much else in that.",2,2,2,2,2.0,2.0,-1.01230650910259,-0.764551091851965,0.0237171947956085,0.265406131744385,0.552340567111969,0.158536076545715,2.15430438518524,-0.919817334091455,0.1252245008945470,0.6930994987487790,0.12672853469848600,0.05494747310876850,2.888601042330270,-0.5471919703216030
